,raw_text,clean_text
50,@aliis32 OMG I cried too! Nathan and haley make me wanna vomit sometimes but always make me say aww LoL...and the Peyton situation is sad,omg i cried too! nathan and haley make me wanna vomit sometimes but always make me say aww lol...and the peyton situation is sad
51,Dear bat-trees: work plz,dear bat-trees work plz
52,"FML, first memorial day back in the states in god knows how long and im alone","fml, first memorial day back in the states in god knows how long and im alone"
53,I don't want to go to the birthday party.  It's booooooooooooring!,i don't want to go to the birthday party. it's booooooooooooring!
54,@DavidArchie Oh David. Survivor is over  JT won though!,oh david. survivor is over jt won though!
55,Morning peeps.  Another Monday morning  Only 3 days of work this week tho for me. Have a good day one and all.,morning peeps. another monday morning only 3 days of work this week tho for me. have a good day one and all.
56,"As far as I am concerned, the world can just die. CRY!!!","as far as i am concerned, the world can just die. cry!!!"
57,"why does bbci player hate me, its my only way to watch my programmes","why does bbci player hate me, its my only way to watch my programmes"
58,i'd rather be in it. but auditions had to be so late.,i'd rather be in it. but auditions had to be so late.
59,"@R4isStatic yes, but am in hampshire all weekend &amp; have to be in Camden by 10pm on Thursday for friend's gig...","yes, but am in hampshire all weekend amp have to be in camden by 10pm on thursday for friend's gig..."
60,ГЇВїВЅi m?t quГЇВїВЅ  ?au ??u ko th? ch?u n?i. bГЇВїВЅy h f?i nghe Coldplay r?i ?i ng? thГЇВїВЅiiiiii,i m?t qu ?au ??u ko th? ch?u n?i. b y h f?i nghe coldplay r?i ?i ng? th iiiiii
61,is probably sick. FFS.,is probably sick. ffs.
62,missing the 24hr Kinkos on University,missing the 24hr kinkos on university
63,Got the BrainBone daily question wrong!  - http://bit.ly/GGRyx,got the brainbone daily question wrong! -
64,just got a temporary crown. wondering why we pay so much for dental insurance &amp; then still have to pay A LOT on things like crowns.,just got a temporary crown. wondering why we pay so much for dental insurance amp then still have to pay a lot on things like crowns.
65,"Shit, I am crying now!  Darn Joey Joe!","shit, i am crying now! darn joey joe!"
66,"which is 5,000 Peso's  using my bank account","which is 5,000 peso's using my bank account"
67,going back to college.,going back to college.
68,Tonight was super fun but took a very very fast and bad downhill turn  at Zoeys now!,tonight was super fun but took a very very fast and bad downhill turn at zoeys now!
69,@SteveSievers i love that song and i must be dreaming i'm so jealous the americans get all the cool stuff  tell them to come to aussie,i love that song and i must be dreaming i'm so jealous the americans get all the cool stuff tell them to come to aussie
70,"Oh come on..I know its sunny and whatever, but who the hell wears pink trainers, green dress and a burgandy hat...not impressed at all","oh come on..i know its sunny and whatever, but who the hell wears pink trainers, green dress and a burgandy hat...not impressed at all"
71,"Suffering from comment spam from visitmix.com site. Please help me, microsoftee.","suffering from comment spam from visitmix.com site. please help me, microsoftee."
72,"Why don't I have any food in the house that I actually want to eat?? Need to go shopping, but left the pram in the car.","why don't i have any food in the house that i actually want to eat?? need to go shopping, but left the pram in the car."
73,"I'm kinda afrad to go see Wolverine, considering I heard it was sorry!  and it doesn't look interesting w/o the rest of the X-Men crew.","i'm kinda afrad to go see wolverine, considering i heard it was sorry! and it doesn't look interesting w o the rest of the x-men crew."
74,@caiab aw  you should of ran over to him and freaked out. haha,aw you should of ran over to him and freaked out. haha
75,"Back to work, had a cold for last 4 days, feeling a bit better, miss the other half","back to work, had a cold for last 4 days, feeling a bit better, miss the other half"
76,"@Miss__Anne ah fun, i've been dying to see twilight again","ah fun, i've been dying to see twilight again"
77,being bullied by my little sister,being bullied by my little sister
78,Good morning! It is almost the end  I really want to hang out with people before we all go our separate ways...,good morning! it is almost the end i really want to hang out with people before we all go our separate ways...
79,@temposhark  Oh that's just down right brilliant right on! Aww I know about the hayfever. My eyes are puffy.. well you know.. lol but,oh that's just down right brilliant right on! aww i know about the hayfever. my eyes are puffy.. well you know.. lol but
80,missing summer from last year. It's gonna be hard topping chicago summer with urbana.,missing summer from last year. it's gonna be hard topping chicago summer with urbana.
81,"@fs82 yeah, its #jugglecon 2 today, and we are in a field so itll be wet and marshy","yeah, its jugglecon 2 today, and we are in a field so itll be wet and marshy"
82,"almost at work, its too sunny to be inside  lets see how today goes...","almost at work, its too sunny to be inside lets see how today goes..."
83,"@c9 Oh no, #tg4g not working again","oh no, tg4g not working again"
84,My sincerest apologies to my European friends for giving away the ending of DH's finale prematurely,my sincerest apologies to my european friends for giving away the ending of dh's finale prematurely
85,I wanna be a Miley Cyrus Friend,i wanna be a miley cyrus friend
86,is tired and has no good movies to watch  someone lend me something!!! please? LOL,is tired and has no good movies to watch someone lend me something!!! please? lol
87,My last day working at Mystic Sbux today...   At least I get to see all the good people!,my last day working at mystic sbux today... at least i get to see all the good people!
88,My pc is shot need a new one to do research reports,my pc is shot need a new one to do research reports
89,is wishing he was at work,is wishing he was at work
90,"Can't seem to retrieve files from old hard drive...Geek squad recommended black widow, but unable to trasnfer files","can't seem to retrieve files from old hard drive...geek squad recommended black widow, but unable to trasnfer files"
91,Rate Limited by Twitter,rate limited by twitter
92,"Nice weather in Seattle meant nobody seemed to go out and do things they would have enjoyed--like going to comedy clubs, M's games, etc.","nice weather in seattle meant nobody seemed to go out and do things they would have enjoyed--like going to comedy clubs, m's games, etc."
93,i feel like absolute shittttt and i have a fever now nooo  (don't worry cora i will still come in to work tom unless im like dying haha),i feel like absolute shittttt and i have a fever now nooo don't worry cora i will still come in to work tom unless im like dying haha
94,says oh no....flood..... flood again.....  http://plurk.com/p/uid46,says oh no....flood..... flood again.....
95,@an_other That's no fun. Mine was 2 short 4 me but that was my fault. I have 2 start getting offline earlier and go 2 bed.,that's no fun. mine was 2 short 4 me but that was my fault. i have 2 start getting offline earlier and go 2 bed.
96,@sunrayswench I hope it is a good day for you. Sorry to hear yesterday wasn't great though,i hope it is a good day for you. sorry to hear yesterday wasn't great though
97,@RobPattinson_ I can imagine the amount of messages you get everyday! I wish my job was exciting as yours! Enjoy everymoment of it for me,i can imagine the amount of messages you get everyday! i wish my job was exciting as yours! enjoy everymoment of it for me
98,:O 17 pages i have to type out,o 17 pages i have to type out
99,For some reason I am a big baby this week.  I want out but I want right back in.  I cry and pout a lot too.    BOO RAIN!,for some reason i am a big baby this week. i want out but i want right back in. i cry and pout a lot too. boo rain!
100,*newbie in twitter* my back aches right not  be right back....,newbie in twitter my back aches right not be right back....
101,i thought the last two days of highschool were supposed to be easy...why is there so much work to do?!,i thought the last two days of highschool were supposed to be easy...why is there so much work to do?!
102,@Moriqua143 Trying to figure out this Heroes thing....its not working,trying to figure out this heroes thing....its not working
103,So hungry   I wanna eat mcdonalds,so hungry i wanna eat mcdonalds
104,@SashaKane Hi Honey!  Your tomato plant died?  wah! LOL That's why I love organic produce at Whole Foods LOL,hi honey! your tomato plant died? wah! lol that's why i love organic produce at whole foods lol
105,@valthevandle aaahhh wish I could,aaahhh wish i could
106,What did @gbazz do to @twitter (more likely what did @twitter do to @gbazz),what did do to more likely what did do to
107,Heading home following a very successful days shopping. Need to nurse my burnt head,heading home following a very successful days shopping. need to nurse my burnt head
108,just got up and thinking about the housework i have to do,just got up and thinking about the housework i have to do
109,@MissRayMarshall lol enjoy! I have to fly to atl at 6 in the freakin am friday! to head off to Korea... I hate super early flights,lol enjoy! i have to fly to atl at 6 in the freakin am friday! to head off to korea... i hate super early flights
110,Still on the train,still on the train
111,@RespectMileyC You have school tomorrow   aw that sucks!!!   How is Australia ?,you have school tomorrow aw that sucks!!! how is australia ?
112,"@coldwindblows Yep, I cried","yep, i cried"
113,@Sankofa52 all that was the shit...no1s funny lik that anymore,all that was the shit...no1s funny lik that anymore
114,"lgbtnetwork: Thanks for the mention, but we never get anything from them  that's the price for saying it how you see it http://ow.ly/64pm","lgbtnetwork thanks for the mention, but we never get anything from them that's the price for saying it how you see it"
115,"Miserable day again, looks like I have got to do some painting","miserable day again, looks like i have got to do some painting"
116,looking for a cute cocktail dress for 2 days...got none interesting  Is it hard to find a cute cocktail dress in size 0 at a cheap price?,looking for a cute cocktail dress for 2 days...got none interesting is it hard to find a cute cocktail dress in size 0 at a cheap price?
117,I'll be away from Stephen in a bit.  For now..,i'll be away from stephen in a bit. for now..
118,ugh. only half way home and we have been driving for ages  and macca's internet is sooo slow,ugh. only half way home and we have been driving for ages and macca's internet is sooo slow
119,"@NikkiReagan do you mean like setup forum a b and c with forum manager? nope, I don't believe so","do you mean like setup forum a b and c with forum manager? nope, i don't believe so"
120,"fuck, dont wanna go to soccer trainng","fuck, dont wanna go to soccer trainng"
121,i'm exhausted!! off to a meeting,i'm exhausted!! off to a meeting
122,I hate my sk08  it causes me nothing but trouble,i hate my sk08 it causes me nothing but trouble
123,@adlyman i did horrible on my act. im so upset with myself,i did horrible on my act. im so upset with myself
124,ugh! tired! this train is OD packed!  3days n im out!,ugh! tired! this train is od packed! 3days n im out!
125,Seeing 15 huge workitems come by in my rss reader. Thought they were commit messages. Turns out they're just new trac tickets,seeing 15 huge workitems come by in my rss reader. thought they were commit messages. turns out they're just new trac tickets
126,Just updated my calendar and now I am on holiday when we are still rolling out a project!,just updated my calendar and now i am on holiday when we are still rolling out a project!
127,"@chewbeka yeah it is brutal  at least it's not until June lmao. But I'm excited, then we have to get onto another plane to Canada LOL","yeah it is brutal at least it's not until june lmao. but i'm excited, then we have to get onto another plane to canada lol"
128,@clay645 @Popcorninvasion but then work wil  be busy,but then work wil be busy
129,Well it has been a good weekend! Plenty of rest and work done.  Back to the drawing board.,well it has been a good weekend! plenty of rest and work done. back to the drawing board.
130,"@Kelardsturm ROM won't run on my PC, The family gaming PC and dads laptop (although I've not tried) are the only things that can run it","rom won't run on my pc, the family gaming pc and dads laptop although i've not tried are the only things that can run it"
131,I just realized I forgot my favorite stuffed bunny!!!   *is very very very sad*,i just realized i forgot my favorite stuffed bunny!!! is very very very sad
132,"I wish you'd stop whirring, silly laptop fans","i wish you'd stop whirring, silly laptop fans"
133,"Bloody United  Come on City, can't let 'em have the title!! :'(","bloody united come on city, can't let 'em have the title!! '"
134,vintage hunt was 50-50.didnt find anything THAT GREAT,vintage hunt was 50-50.didnt find anything that great
135,@thatnatgirl gonna have to take a rainsheck for tonight unfortunately   i really shouldn't push myself too hard atm...,gonna have to take a rainsheck for tonight unfortunately i really shouldn't push myself too hard atm...
136,"@RyannLim yeah, no more 90210.  the internet wasnt nice to me anymore. hahaha.","yeah, no more 90210. the internet wasnt nice to me anymore. hahaha."
137,GO to the website www.3dl.am and than download the all songs videos for free REALLY i dont lie but the website is on german,go to the website and than download the all songs videos for free really i dont lie but the website is on german
138,@Jayde_Nicole are you watching this season of the Tudors? It's so good! There's 2 more episodes left for this season,are you watching this season of the tudors? it's so good! there's 2 more episodes left for this season
139,i try not to sound judgemental! sigh i hope HE calls me back,i try not to sound judgemental! sigh i hope he calls me back
140,i dont want to do homework,i dont want to do homework
141,A whole sunny  day to be spent studying Accounting...not my definition of fun.,a whole sunny day to be spent studying accounting...not my definition of fun.
142,"Back to work today, and the weather is so gorgeous outside  smelly studends who will have done no work","back to work today, and the weather is so gorgeous outside smelly studends who will have done no work"
143,now that she iis finally off it it's time for my snuggle and curl positon tom i will send out follows since i missed follow friday!,now that she iis finally off it it's time for my snuggle and curl positon tom i will send out follows since i missed follow friday!
144,"Awww.  I knew to expect sadness at the end of Marley and Me, but it reminded me too much of probably isn't far off for Sassy.","awww. i knew to expect sadness at the end of marley and me, but it reminded me too much of probably isn't far off for sassy."
145,i wish i went out tonight,i wish i went out tonight
146,@jayctigerfan I CANT WAIIIIIIIIIIT TILL ITS MY TURN.,i cant waiiiiiiiiiit till its my turn.
147,He singed out 1 minute ago.,he singed out 1 minute ago.
148,"@rumblepurr They are being stingy with the treats just now cos of my weight  I wouldn't even purr when they stroked me, I was so miffed!","they are being stingy with the treats just now cos of my weight i wouldn't even purr when they stroked me, i was so miffed!"
149,Mmm...English is difficult,mmm...english is difficult
150,"@aheartofstars ow, caps lock of doom ate my soul, and part of my face","ow, caps lock of doom ate my soul, and part of my face"
151,Argh awful stomach pains. I want to lie down not get ready for work,argh awful stomach pains. i want to lie down not get ready for work
152,@squishymatter oh sorry about your back  Hope J gets better fast and it doesn't keep bouncing around!,oh sorry about your back hope j gets better fast and it doesn't keep bouncing around!
153,going to the doctors tomorrow  kinda scared!,going to the doctors tomorrow kinda scared!
154,@tsongvilay1 Dont worry. It doesn't. but at least I'm good to look at it.,dont worry. it doesn't. but at least i'm good to look at it.
155,"Saw Angels &amp; Demons last night. That is a movie inspired by the book, but in no way true to the book. And the final brand? C'mon.","saw angels amp demons last night. that is a movie inspired by the book, but in no way true to the book. and the final brand? c'mon."
156,"This morning my moped stopped, a leak in the cilinder head (again)  hopefully i can repear it this afternoon.","this morning my moped stopped, a leak in the cilinder head again hopefully i can repear it this afternoon."
157,"@tommcfly i cant , its way to far  if i had the train money i would goo all the way from caterham xxx","i cant , its way to far if i had the train money i would goo all the way from caterham xxx"
158,Chrysler to close 5 more plants; will file to sell most assets to Fiat http://usat.me/?34932144.   A sad day.,chrysler to close 5 more plants will file to sell most assets to fiat a sad day.
159,yahoo is going to close geocities..,yahoo is going to close geocities..
160,I fell asleeeeeeeeeeep for 2 hours &gt;.&lt; i still have tons of work,i fell asleeeeeeeeeeep for 2 hours gt . lt i still have tons of work
161,Urgh! Have been doing a little weeding out of bott followers. Didn't realise there were so many!! Internet being very slow doesn't help,urgh! have been doing a little weeding out of bott followers. didn't realise there were so many!! internet being very slow doesn't help
162,@Wizz_Dumb Im sorry lol...well i wanna lay down but the twittering and endless homework is keeping me up...,im sorry lol...well i wanna lay down but the twittering and endless homework is keeping me up...
163,@KatieDoyle26 I just finished watching the Real World/Road Rules Challenge...I was so pissed that you got sent home!!,i just finished watching the real world road rules challenge...i was so pissed that you got sent home!!
164,I WANT TO EAT FAST FOOD.,i want to eat fast food.
165,@Nightr6701 i here you.   2009 has sucked so badly...,i here you. 2009 has sucked so badly...
166,@Crichton_Kicks not properly yet,not properly yet
167,"Home, Sweet, Home...and back to work","home, sweet, home...and back to work"
168,nice and relaxing sunday. Only been out once to bin a little bird the neighbours cat got,nice and relaxing sunday. only been out once to bin a little bird the neighbours cat got
169,Oral pathology class going on.. Going to be 3 hour long one.. And phone battery is low. Cant tweet for more time,oral pathology class going on.. going to be 3 hour long one.. and phone battery is low. cant tweet for more time
170,Christina Bays! I need to talk to you  I need to vent!,christina bays! i need to talk to you i need to vent!
171,Staying in on a Saturday to get better.,staying in on a saturday to get better.
172,Hates thunder and lightning,hates thunder and lightning
173,Ah! Can't decide what to buy for birthday,ah! can't decide what to buy for birthday
174,my cat shows disinterest when i tell him my vagina's bleeding  goodnight.,my cat shows disinterest when i tell him my vagina's bleeding goodnight.
175,@J_Moneyy haha ikk there very busyyyy! but it's an annoying feelingg  lalala at atleast I get to talk to youu =D,haha ikk there very busyyyy! but it's an annoying feelingg lalala at atleast i get to talk to youu d
176,@BillohBill *whispers from bed* I'm not either.,whispers from bed i'm not either.
177,Arsenal lost yestee. I feel sad for Fabianski  what a bday). Nadal better pull off his magic before I declare this weekend a t. lost.,arsenal lost yestee. i feel sad for fabianski what a bday . nadal better pull off his magic before i declare this weekend a t. lost.
178,I feel like death right now.   Hopefully it's Swine flu .,i feel like death right now. hopefully it's swine flu .
179,Can't seem to get over the dissapointment of haveing absolutly no one notice I am gone. Sad   I must not be boring I must not be boring...,can't seem to get over the dissapointment of haveing absolutly no one notice i am gone. sad i must not be boring i must not be boring...
180,"@MsGourmet yes! I'm on vac on France, my friends over there send some sms 2 let me know they can't check my blog!  ..not much I can do","yes! i'm on vac on france, my friends over there send some sms 2 let me know they can't check my blog! ..not much i can do"
181,Worried about Nadia,worried about nadia
182,Should b sleeping (gotta get up early) but gosh! I hate when ppl dont txt me back. Makes me feel so unloved... or like I'm annoying?,should b sleeping gotta get up early but gosh! i hate when ppl dont txt me back. makes me feel so unloved... or like i'm annoying?
183,I'm at some sketchy ass place right now freakin out wishing my MissShergold was here,i'm at some sketchy ass place right now freakin out wishing my missshergold was here
184,"tried to play air hockey with Kurt Kuenne, but the air was broken.","tried to play air hockey with kurt kuenne, but the air was broken."
185,@pixelgangsta oh well please THANK her for answering my phone calls,oh well please thank her for answering my phone calls
186,"Good morning thespians, grey and stormy in Uk, a day of fixing computer for me","good morning thespians, grey and stormy in uk, a day of fixing computer for me"
187,Good Morning .... heading out for lunch today on my last day off before i go back to school tomorrow and then A Levels are 3weeks away,good morning .... heading out for lunch today on my last day off before i go back to school tomorrow and then a levels are 3weeks away
188,OMG! Huge exam on TUESDAY no time to STUDY! eek,omg! huge exam on tuesday no time to study! eek
189,@Cletae how are you today? aint seen you on Michaels network this morning -- I miss you,how are you today? aint seen you on michaels network this morning -- i miss you
190,"@b50 Absolutely agree with that, these are the most elementary tasks related to banking, too bad I ain't acquainted with them","absolutely agree with that, these are the most elementary tasks related to banking, too bad i ain't acquainted with them"
191,God i hate morningss.  Off to the track!,god i hate morningss. off to the track!
192,And she is gay. Wow.,and she is gay. wow.
193,@s_swan u can't sleep? That sucks. I just now started charting.   I'll be getting home very late.,u can't sleep? that sucks. i just now started charting. i'll be getting home very late.
194,"@berly6412 eh, my knee's still not right. It's good while running then inflamed after.I've been keeping off it this week.","eh, my knee's still not right. it's good while running then inflamed after.i've been keeping off it this week."
195,"Inspired by today's Sunday Times, how many festivals are you doing this summer? I'm booked for only 2 so far","inspired by today's sunday times, how many festivals are you doing this summer? i'm booked for only 2 so far"
196,i don't want things to change.. i just want everything to be how it used to..,i don't want things to change.. i just want everything to be how it used to..
197,@galvestonisland did the Strand shops take on water again?   @Leighjones http://www.twitpic.com/3k0zj,did the strand shops take on water again?
198,@gemma_kiely what's so awesome about primary? I had a free coffee fr there once &amp; it was kinda crap. I am leaving uni NOW.,what's so awesome about primary? i had a free coffee fr there once amp it was kinda crap. i am leaving uni now.
199,wishing it would stop raining!,wishing it would stop raining!
200,"Oh my,,, the tweenies are rapping","oh my,,, the tweenies are rapping"
201,"The best gift of the day-having no plan, no commitments, no schedule! Only job was to enjoy each other. Back to crazy schedule tomorrow","the best gift of the day-having no plan, no commitments, no schedule! only job was to enjoy each other. back to crazy schedule tomorrow"
202,@steveappleton Steeeve xD Just found out you were on german TV x) And i missed it  You gotta come back,steeeve xd just found out you were on german tv x and i missed it you gotta come back
203,@adecemberist Good luck ГЇВїВЅ hope you're driving.  My car is in Pinole,good luck hope you're driving. my car is in pinole
204,@ school gettig redy for the final exam,school gettig redy for the final exam
205,Snow covered mountains ... Picture does not do them justice they always look smaller in pictures   http://twitpic.com/3ltvr,snow covered mountains ... picture does not do them justice they always look smaller in pictures
206,@JanJanAshley definitely going to come find you! Ps text me your number I don't have any,definitely going to come find you! ps text me your number i don't have any
207,@StudioFairy haha okay! -hands orange juice- but...i ran out of donuts,haha okay! -hands orange juice- but...i ran out of donuts
208,"says crappy weather here this morning   Rain one minute, sunshine the next.  Chilly and windy.  Sometimes I ... http://plurk.com/p/ui6il","says crappy weather here this morning rain one minute, sunshine the next. chilly and windy. sometimes i ..."
209,I know i shouldnt tweet dis becuz im scared of da dm's &amp; replies &amp; shit but im horny!!!!!!! lk i just watched porn &amp; i wanna screw,i know i shouldnt tweet dis becuz im scared of da dm's amp replies amp shit but im horny!!!!!!! lk i just watched porn amp i wanna screw
210,Hates the rainy weather,hates the rainy weather
211,Grrrrr its snowing  i hate it when its cold!! It sure doesnt feel like spring,grrrrr its snowing i hate it when its cold!! it sure doesnt feel like spring
212,well i guess i must make a start on the hedge,well i guess i must make a start on the hedge
213,"Saturday! I could have gone to my friends 29th b-day party, but instead I have to work. This sucks.The time I get off it'll be over","saturday! i could have gone to my friends 29th b-day party, but instead i have to work. this sucks.the time i get off it'll be over"
214,Free comic book day and I'm too lazy/have too much work to do to nip out to Forbidden Planet,free comic book day and i'm too lazy have too much work to do to nip out to forbidden planet
215,@mattingham The gale wasn't that camp last time we went,the gale wasn't that camp last time we went
216,"sorry fellow twitters got to go, star trek is on,  this better be worth it","sorry fellow twitters got to go, star trek is on, this better be worth it"
217,@infidelsarecool ugh how depressing.    i want to punch something.,ugh how depressing. i want to punch something.
218,Aw I didn't win AAR tickets  I was the 957 texter,aw i didn't win aar tickets i was the 957 texter
219,@JacquieDicker not very sunny here now,not very sunny here now
220,$200 down the drain because my car got towed,200 down the drain because my car got towed
221,@jchawes dude there's a ghost behind your couch lol  probably just a light reflection tho,dude there's a ghost behind your couch lol probably just a light reflection tho
222,@justjuniper i live in both worlds unfortunately  don't we all? boo to that! lol,i live in both worlds unfortunately don't we all? boo to that! lol
223,Injured my knee (medial meniscus) playing soccer,injured my knee medial meniscus playing soccer
224,"Lily's parents are very protective they kept a very close watch on us, i guess they don't really trust me","lily's parents are very protective they kept a very close watch on us, i guess they don't really trust me"
225,Sick again   cannot afford to be sick this week.,sick again cannot afford to be sick this week.
226,@iDkelly I dnt wanna tlk about it.lls  all I kno is ryannss mad @ meee,i dnt wanna tlk about it.lls all i kno is ryannss mad meee
227,@Y_C_Monkey a couple of drops was all we got,a couple of drops was all we got
228,@thesage1014 I wish I could! Gotta work though,i wish i could! gotta work though
229,Im feeling the urge for another doze waffle.. Im tierd.. Not mutch sleep again,im feeling the urge for another doze waffle.. im tierd.. not mutch sleep again
230,"@sharlynnx yes! it was you who took it? i drooled all over his smile *_* i did! i dont know how, i never forget it!!! i felt really awful","yes! it was you who took it? i drooled all over his smile i did! i dont know how, i never forget it!!! i felt really awful"
231,Back to work aaargh!,back to work aaargh!
232,"Ok so in work, no phones allowed now  so have had to sneak around just to tweet, I think I shall start a hash tag. #ninjatweet","ok so in work, no phones allowed now so have had to sneak around just to tweet, i think i shall start a hash tag. ninjatweet"
233,@xirclebox I was like 3 when this song came out.,i was like 3 when this song came out.
234,Playing with PJ. He sick,playing with pj. he sick
235,@Hapson never tried it  you'll have to let me know what it's like,never tried it you'll have to let me know what it's like
236,@birminghamlive What - no mention of the A Camp review??,what - no mention of the a camp review??
